cuisine_description,violation_code,count,rank
Thai,10F,135,1
Thai,08A,105,2
Thai,02G,88,3
Thai,04L,63,4
Thai,02B,59,5
Thai,06C,53,6
Thai,06D,47,7
Thai,10B,42,8
Thai,04M,37,9
Thai,08C,28,10
Thai,04N,28,10
Thai,09B,24,12
Thai,10H,20,13
Thai,04K,19,14
Thai,10G,18,15
Thai,06A,15,16
Thai,06E,15,16
Thai,06F,15,16
Thai,04A,15,16
Thai,04H,14,20
Thai,09C,12,21
Thai,02H,9,22
Thai,05D,8,23
Thai,10D,8,23
Thai,03A,5,25
Thai,09A,5,25
Thai,06B,5,25
Thai,04J,4,28
Thai,10A,4,28
Thai,03B,3,30
Thai,10E,3,30
Thai,02I,2,32
Thai,04C,2,32
Thai,28-06,1,34
Thai,09E,1,34
Thai,02A,1,34
Thai,10I,1,34
Thai,02C,1,34
Thai,05F,1,34
Thai,06G,1,34
Thai,08B,1,34
Thai,03C,1,34
Thai,,1,34
Thai,09D,1,34
Cajun,08A,4,1
Cajun,04L,3,2
Cajun,10F,3,2
Cajun,06C,2,4
Cajun,04N,2,4
Cajun,10B,2,4
Cajun,10G,2,4
Cajun,04M,2,4
Cajun,05B,1,9
Cajun,10D,1,9
Cajun,10A,1,9
Cajun,06B,1,9
Cajun,02G,1,9
Cajun,06D,1,9
Czech,06C,2,1
Czech,06F,1,2
Czech,02H,1,2
Czech,06D,1,2
Greek,10F,51,1
Greek,08A,34,2
Greek,10B,28,3
Greek,06C,27,4
Greek,02G,21,5
Greek,04N,20,6
Greek,06D,20,6
Greek,04L,19,8
Greek,02B,14,9
Greek,08C,10,10
Greek,10G,9,11
Greek,09C,8,12
Greek,10H,6,13
Greek,04A,6,13
Greek,06E,6,13
Greek,04M,6,13
Greek,06F,5,17
Greek,08B,4,18
Greek,06A,4,18
Greek,02H,4,18
Greek,09B,4,18
Greek,02A,2,22
Greek,02C,2,22
Greek,04C,2,22
Greek,06B,2,22
Greek,05F,2,22
Greek,10E,2,22
Greek,05D,2,22
Greek,,1,29
Greek,03B,1,29
Greek,04H,1,29
Greek,10A,1,29
Greek,04O,1,29
Greek,06G,1,29
Greek,09A,1,29
Greek,04K,1,29
Greek,02I,1,29
Irish,10F,74,1
Irish,06D,62,2
Irish,08A,43,3
Irish,04L,30,4
Irish,10B,27,5
Irish,04H,27,5
Irish,04N,19,7
Irish,06C,15,8
Irish,02G,14,9
Irish,08C,13,10
Irish,02B,11,11
Irish,04A,8,12
Irish,10G,7,13
Irish,06E,7,13
Irish,06F,7,13
Irish,09C,6,16
Irish,10H,6,16
Irish,04K,5,18
Irish,05D,5,18
Irish,04M,4,20
Irish,02H,2,21
Irish,04C,2,21
Irish,10E,2,21
Irish,04J,2,21
Irish,10D,2,21
Irish,09E,1,26
Irish,06A,1,26
Irish,10A,1,26
Irish,04B,1,26
Irish,09A,1,26
