violation_code,inspection_year,count
10D,2023,256
06C,2016,1
06F,2016,1
09C,2017,1
04A,2017,1
04N,2017,1
06A,2017,1
02B,2017,1
09B,2017,1
08C,2017,1
10E,2018,1
04K,2018,1
02H,2018,1
02B,2018,1
10D,2018,1
09C,2018,1
05H,2018,1
06F,2018,1
02A,2018,1
04J,2018,1
04E,2019,1
09A,2019,1
05F,2019,1
04O,2019,1
02C,2019,1
22G,2019,1
02A,2019,1
10A,2020,1
04E,2020,1
08B,2020,1
10G,2020,1
03C,2020,1
09A,2020,1
08B,2021,1
03B,2021,1
05A,2021,1
05C,2021,1
05E,2021,1
02A,2021,1
04C,2021,1
04F,2021,1
04I,2022,1
28-07,2022,1
06I,2022,1
03D,2023,1
02D,2023,1
03F,2023,1
10B,2017,2
02G,2017,2
04L,2017,2
06D,2017,2
10I,2018,2
04M,2018,2
06E,2018,2
,2018,2
08B,2019,2
02I,2019,2
05D,2020,2
04J,2020,2
10C,2020,2
06B,2020,2
02C,2021,2
06B,2021,2
09A,2021,2
18-11,2022,2
04B,2022,2
02D,2022,2
03E,2022,2
06H,2022,2
28-07,2023,2
02G,2022,1026
08A,2017,3
02G,2018,3
06B,2018,3
10J,2018,3
06A,2018,3
02I,2020,3
10D,2020,3
,2020,3
03A,2020,3
05H,2021,3
10D,2021,3
10A,2021,3
03A,2021,3
09D,2022,3
06G,2022,3
10B,2018,4
06C,2018,4
10H,2018,4
04A,2018,4
04C,2019,4
06B,2019,4
04C,2020,4
09B,2020,4
,2021,4
10J,2021,4
09D,2023,4
08C,2018,5
05D,2018,5
10A,2019,5
04K,2019,5
04K,2020,5
04K,2021,5
04J,2021,5
02H,2021,5
04F,2022,5
05C,2022,5
05E,2022,5
03I,2022,5
05B,2022,5
03E,2023,5
04H,2018,6
10D,2019,6
10I,2020,6
02F,2022,6
04F,2023,6
04P,2023,6
04N,2018,7
04J,2019,7
09B,2019,7
10J,2020,7
10E,2021,7
05A,2022,7
02F,2023,7
04L,2018,8
06D,2018,8
10J,2019,8
10E,2020,8
06A,2020,8
04M,2020,8
06F,2021,8
05D,2021,8
06F,2020,9
06E,2021,9
04D,2022,9
02A,2022,9
05E,2023,9
05B,2023,9
06D,2022,1545
04M,2019,10
08C,2019,10
04A,2020,10
03C,2023,10
06G,2023,10
02H,2019,11
10E,2019,11
02H,2020,11
08C,2020,12
04H,2020,12
06E,2020,12
04M,2021,12
05D,2019,13
06A,2019,13
04N,2020,13
08C,2021,13
04D,2023,13
05A,2023,13
06F,2019,14
04E,2022,14
09C,2020,15
09C,2021,15
05H,2022,15
03B,2022,15
05C,2023,16
08A,2018,17
10I,2019,17
05F,2022,17
28-05,2022,17
06A,2021,18
03I,2023,18
02B,2020,19
10I,2021,19
04H,2021,19
09B,2021,20
03B,2023,20
02G,2020,21
02I,2022,21
02C,2022,21
,2019,22
02I,2023,22
04H,2019,23
09C,2019,24
10H,2020,24
10H,2021,24
04O,2022,24
02A,2023,24
04E,2023,25
02C,2023,25
10F,2018,26
10C,2022,26
08C,2023,795
06C,2020,28
10B,2020,29
28-06,2022,29
04A,2019,30
10H,2019,31
02B,2021,31
06F,2022,287
06E,2019,32
02B,2019,32
10C,2023,32
04A,2021,33
04L,2020,34
06D,2020,34
05F,2023,34
04L,2021,35
02B,2022,1059
02G,2021,36
03A,2022,36
10J,2022,39
02G,2019,40
10G,2022,296
,2022,42
09A,2022,43
04N,2021,45
09E,2022,46
06C,2019,47
04N,2019,50
08A,2020,51
10B,2021,53
08B,2022,53
04O,2023,55
02H,2023,311
28-05,2023,56
06D,2021,60
10H,2022,316
04M,2023,575
06C,2021,66
04N,2023,1349
04L,2019,70
10A,2022,70
04H,2023,583
10G,2023,843
05H,2023,76
10I,2022,77
04C,2022,79
03A,2023,81
10F,2022,3665
08A,2021,82
10H,2023,596
06E,2022,342
10B,2019,89
06B,2022,90
10F,2020,93
10E,2023,352
06D,2019,99
09B,2023,356
28-06,2023,103
04L,2023,2157
10F,2021,110
04H,2022,366
08A,2019,112
04K,2023,371
06C,2022,1139
04J,2022,116
09A,2023,116
10B,2023,2682
08A,2022,2172
09C,2022,381
06F,2023,639
10D,2022,131
10E,2022,135
08B,2023,139
06A,2022,397
06B,2023,144
05D,2023,401
10B,2022,1173
02B,2023,1941
,2023,151
10F,2023,7583
04K,2022,164
04C,2023,169
04M,2022,428
06E,2023,685
02H,2022,174
06A,2023,694
04J,2023,191
10A,2023,199
05D,2022,202
08C,2022,460
04N,2022,973
08A,2023,3535
06C,2023,2258
02G,2023,2012
04A,2023,990
06D,2023,2784
04A,2022,492
09B,2022,238
04L,2022,1262
09E,2023,244
10F,2019,249
09C,2023,767
